cuecompania	cuedivision	cuecodigo	cuecodilimiinfe	cuecodilimisupe	cuenivecuenmayo	cuenombre	cuetipo	cuenaturaleza	cuepresupuestable	cuecodialtepres	cuetipocodialte	cueestadistica	cuediferenciable	cuemonetaria	cuemanemoneextr	cuecaptmone	cueajustable	cuemanecant	cuemaneconctrib	cuemanetranefec	cueelemento1	cueelemento2	cueelemento3	cueelemento4	cueelemento5	cuecontelem1	cuecontelem2	cuecontelem3	cuecontelem4	cuecontelem5	cueclasificacio	cuebaseivaretefte	cuetolivaretefte	cuecomentario	eobcodigo	eobnombre	eobfecha	eobjustificacion	eobusuario	cuetipoivaretefte	cueporcivaretefte	cuemaneproy	cuetipoplan	cueflujoefec	cuecodiflujoefec	cueimptodifer	cueuuidcontadic	ecacodigo	ecadescripcion
01	01	11050512	11050512	11050512	4	CAJA GENERAL MÁQUINAS DE PARQUEADERO	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo que permanece como base en las màquinas de Coins para la venta de tiquetes.	AC	Activo	29/10/2015 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050515	11050515	11050515	4	CAJA GENERAL PEREIRA	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	Corresponde a la existencia de dinero en efectivo o en cheques, tanto en moneda nacional como extranjera, disponible en forma inmediata, en Pereira.	SU	Suspendido	28/07/2017 00:00:00		JESTRADC		0	N	1	N		N			
01	01	11050516	11050516	11050516	4	PAYPAL	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N			SU	Suspendido	28/07/2017 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050517	11050517	11050517	4	LIQUIDEZ APT VALORES BANCOLOMBIA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	3	99	99	0	0	1	0	0	I	N			SU	Suspendido	27/08/2015 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050518	11050518	11050518	4	CAJA GENERAL VIVO	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo por los pagos realizados en la caja General de VIVO	AC	Activo	27/08/2015 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050519	11050519	11050519	4	CAJA GENERAL MINIMERCADO	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de dinero en efectivo por la venta de los productos en el Minimercado	AC	Activo	01/06/2017 00:00:00	Justificación	LGALLE15			N	1	N		N			
01	01	11050520	11050520	11050520	4	CAJA GENERAL MONEDA EXTRANJERA-DÓLARES	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de Dólares para los pagos que se deben realizar en efectivo	AC	Activo	26/02/2016 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11050521	11050521	11050521	4	CAJA GENERAL MONEDA EXTRANJERA-EUROS	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde a la existencia de Euros para los pagos que se deben realizar en efectivo	AC	Activo	26/02/2016 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	110510	110510	1105109999999999	4	CAJAS MENORES			N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	IMPORTA	AC	ACTIVO	28/03/2000 00:00:00		IMPORTA		0	N	1	N		N			
01	01	11051005	11051005	1105100599999999	5	CAJAS MENORES MEDELLIN			N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	"Corresponde al fondo fijo de efectivo establecido por la Universidad para cubrir pagos menores en la
sede de Medellìn."	AC	ACTIVO	28/03/2000 00:00:00		IMPORTA		0	N	1	N		N			
01	01	1105100501	1105100501	1105100501	5	CAJA MENOR TESORERIA	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores por concepto de servicios de las dependencias que no tienen Caja Menor.
Características: esta cuenta se registran pagos tales como, tiquetes de pa"	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	1105100502	1105100502	1105100502	5	CAJA MENOR COMPRAS	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores por
concepto de compras de las dependencias de la Universidad."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	1105100503	1105100503	1105100503	5	CAJA MENOR PROY.CONVERGENCIA Y DSLLO.	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	IMPORTA	SU	Suspendido	18/09/2012 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	1105100504	1105100504	1105100504	5	CAJA MENOR CENTRO DE LABORATORIOS	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en el
Centro de Laboratorios."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	1105100505	1105100505	1105100505	5	CAJA MENOR DPTO. COMUNICACION Y CULTURA	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en
Comunicación y Cultura."	AC	Activo	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	1105100506	1105100506	1105100506	5	CAJA MENOR SERVICIOS GENERALES	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en
área de Servicios Generales."	AC	Activo	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	1105100507	1105100507	1105100507	5	CAJA MENOR RECTORIA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en
Rectoría."	AC	Activo	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	1105100508	1105100508	1105100508	5	CAJA MENOR GASTOS DE VIAJE	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores de
gastos de viaje para las diferentes áreas de la Universidad."	SU	Suspendido	18/09/2012 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	1105100509	1105100509	1105100509	5	CAJA MENOR FRUTERA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en la
Frutera."	AC	Activo	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	1105100510	1105100510	1105100510	5	DPTO. COMUNICACION Y CULTURA - EVENTO MOEA	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores el
departamento de comunicaciòn y cultura."	SU	Suspendido	06/02/2013 00:00:00	Justificación	LGAVIRIA			N	1	N		N			
01	01	1105100511	1105100511	1105100511	5	CAJA MENOR SEDE LAURELES-CENTRO DE IDIOMAS	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N			SU	Suspendido	28/07/2017 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	1105100512	1105100512	1105100512	5	CAJA MENOR DEPARTAMENTO DE MERCADEO INSTITUCI	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en lMercadeo Institucional	AC	Activo	07/05/2013 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	1105100513	1105100513	1105100513	5	CAJA MENOR MINIMERCADO	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		"""Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en el MInimercado"	AC	Activo	21/05/2015 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	1105100514	1105100514	1105100514	5	CAJA MENOR SECRETARÍA GENERAL	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N		Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en Secretaría General	AC	Activo	15/02/2016 00:00:00	Justificación	JESTRADC			N	1	N		N			
01	01	11051010	11051010	11051010	4	CAJA MENOR BOGOTA	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en la
Sede de Bogotá."	AC	ACTIVO	29/10/2015 00:00:00		JESTRADC		0	N	1	N		N			
01	01	11051015	11051015	11051015	4	CAJA MENOR PEREIRA	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en la
Sede de Pereira."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11051020	11051020	11051020	4	CAJA MENOR LLANOGRANDE	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	"Corresponde al fondo fijo de efectivo establecido por la Universidad, para cubrir pagos menores en la
Sede de Llanogrande."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11051025	11051025	1105102599999999	5	CAJAS MENORES PROYECTOS			N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	IMPORTA	AC	ACTIVO	28/03/2000 00:00:00		IMPORTA		0	N	1	N		N			
01	01	1105102501	1105102501	1105102501	5	CAJA MENOR PROYECTO CONEXIONES	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	IMPORTA	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	1105102502	1105102502	1105102502	5	CAJA MENOR CENTRO DE DLLO. EMPRESARIAL	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N	1	IMPORTA	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	1105102503	1105102503	1105102503	5	CAJA MENOR CASALS	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	I	N			SU	Suspendido	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	1110	1110	1110999999999999	3	BANCOS			N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	"Corresponde al valor de los depósitos constituidos por la Universidad, en moneda nacional y
extranjera, para nómina comprende: Santander, Bancolombia y Conavi; para matrículas comprende:
Santander, Banco de Crédito, Bancolombia, Banco de Bogotá, Occiden"	AC	ACTIVO	28/03/2000 00:00:00		IMPORTA		0	N	1	N		N			
01	01	111005	111005	1110059999999999	4	BANCOS EN MONEDA NACIONAL			N			N	N	N	N		N	N	N	N	99	99	99	99	99	0	0	0	0	0	M	N	0	IMPORTA	AC	ACTIVO	28/03/2000 00:00:00		IMPORTA		0	N	1	N		N			
01	01	11100501	11100501	11100501	4	BANCO CORPBANCA  No. 00102349-8	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco Santander, en
moneda nacional, para nómina."	AC	ACTIVO	29/04/2013 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11100502	11100502	11100502	4	SANTANDER INSCRIPCIONES No. 00102350-6	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco Santander, en
moneda nacional, para inscripciones, derechos de grado y certificados."	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100503	11100503	11100503	4	SANTANDER  FUNCIONAMIENTONo.00102352-2	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco Santander, en
moneda nacional, para funcionamiento y matrículas."	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100504	11100504	11100504	4	SANTANDER MATRICULAS No. 00109590-0	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	5	0	0	0	2	2	I	N	1	IMPORTA	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100505	11100505	11100505	4	BOGOTA FUNCIONAMIENTO NO.43300462-9	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco de Bogotá, en
moneda nacional, para funcionamiento."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100506	11100506	11100506	4	HELM BANK   No.10124040-6	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en el banco de Crédito, en
moneda nacional, para funcionamiento."	AC	ACTIVO	29/04/2013 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11100507	11100507	11100507	4	BCO. DE CREDITO-MATRICULAS NO.101060812	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	5	0	0	0	2	2	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco de Crédito, en
moneda nacional, para matrículas."	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100508	11100508	11100508	4	BANCOLOMBIA NR.935-25249555 DONACIÓN APOYOS	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	5	0	0	0	2	3	I	N	1	IMPORTA	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100509	11100509	11100509	4	BOGOTA NO.22333117-4	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100510	11100510	11100510	4	BANCOLOMBIA PPAL. CTA. No. 001901389-12	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Bancolombia, en moneda
nacional, para matrículas, nómina y funcionamiento."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100511	11100511	11100511	4	BANCO GANADERO NO.35020040-8	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100512	11100512	11100512	4	POPULAR FUNCIONAM. CTA. NO.018015877-6	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco Popular, en moneda
nacional, para funcionamiento."	SU	Suspendido	02/06/2017 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11100513	11100513	11100513	4	BANCOLOMBIA CTA. No. 001-005662-19 C.D.E	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	Suspendido	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100514	11100514	11100514	4	OCCIDENTE CTA. NO.4080002154-1	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la universidad en Banco de Occidente, en
moneda nacional, para funcionamiento."	AC	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100515	11100515	11100515	4	SUPERIOR CTA. NO.901-042119-0	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100516	11100516	11100516	4	POPULAR MATRICULAS CTA NO. 180-21804-2	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	5	0	0	0	2	2	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en Banco Popular, en moneda
nacional, para matrículas."	SU	Suspendido	04/02/2014 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11100517	11100517	11100517	4	BANCOLOMBIA-INTERNET CUENTA No. 001-099102-44	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N		"Corresponde al valor de los depósitos constituidos por la Universidad en Bancolombia, en moneda
nacional, para matrículas."	AC	Activo	20/09/2011 00:00:00	Justificacion	PCADMIN2			N	1	N		N			
01	01	11100518	11100518	11100518	4	CITI BANK CUENTA NO. 71400239	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	Suspendido	08/10/2013 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11100519	11100519	11100519	4	POPULAR-FINDETER  CTA. No.21807-5	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100520	11100520	11100520	4	ABN AMRO BANK CTA. 008-0629918	AC	DB	N			N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N	1	IMPORTA	SU	ACTIVO	20/09/2011 00:00:00		PCADMIN2		0	N	1	N		N			
01	01	11100521	11100521	11100521	4	DAVIVIENDA CTA 0367 6999 9958	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	1	0	I	N	1	"Corresponde al valor de los depósitos constituidos por la Universidad en el banco Davivienda, en
moneda nacional, para funcionamiento."	AC	ACTIVO	23/04/2015 00:00:00		PMUNOZAR		0	N	1	N		N			
01	01	11100522	11100522	11100522	4	DAVIVIENDA BANCO CTA. 902-230709-6	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N		"Corresponde al valor de los depósitos constituidos por la Universidad en el Banco Superior, en
moneda nacional, para funcionamiento."	AC	Activo	20/09/2011 00:00:00	Justificacion	PCADMIN2			N	1	N		N			
01	01	11100523	11100523	11100523	4	BANCOLOMBIA MATRICULAS 001-069019-59	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	5	0	0	0	2	2	I	N			SU	Suspendido	20/09/2011 00:00:00	Justificacion	PCADMIN2			N	1	N		N			
01	01	11100524	11100524	11100524	4	BANCOLOMBIA - BOGOTA  CTA.No. 4090138905	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N			SU	Suspendido	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	11100525	11100525	11100525	4	BANCOLOMBIA- PEREIRA CTA No. 115-19133358-1	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	1	0	I	N			SU	Suspendido	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	11100526	11100526	11100526	4	BANCO POPULAR C. UNIANDES CTA 220180721953	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	1	0	I	N			SU	Suspendido	20/09/2011 00:00:00	Justificación	PCADMIN2			N	1	N		N			
01	01	11100527	11100527	11100527	4	BANCOLOMBIA 935-965383-79	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	1	0	I	N			SU	Suspendido	16/06/2016 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100528	11100528	11100528	4	BANCOLOMBIA 935-965387-81	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	1	0	I	N			SU	Suspendido	04/03/2015 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100529	11100529	11100529	4	BANCOLOMBIA No 935-113635-97	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N			SU	Suspendido	17/12/2015 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100530	11100530	11100530	4	BANCOLOMBIA No 935-118776-98	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N			SU	Suspendido	06/04/2016 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100531	11100531	11100531	4	BANCOLOMBIA No 935-118781-77	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N			SU	Suspendido	06/04/2016 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100532	11100532	11100532	4	BANCOLOBIA 938-143498-81 CICE EDI 07-415	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N			SU	Suspendido	17/12/2015 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100533	11100533	11100533	4	EAFIT- MPIO DE MEDELLIN 4600048807	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	2	0	I	N			SU	Suspendido	01/02/2017 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
01	01	11100534	11100534	11100534	4	BANCOLOMBIA CONVENIO 935-145062-61	AC	DB	N	0		N	N	N	N		N	N	N	N	99	99	99	4	99	0	0	0	1	0	I	N			SU	Suspendido	27/11/2015 00:00:00	Justificación	PMUNOZAR			N	1	N		N			
